Vecka,Year,Region,AntalVaccinerade,AndelVaccinerade,Vaccinationsstatus
03,2021,Östergötland,2011,"0,005432",Färdigvaccinerade
03,2021,Jönköping,10356,"0,036312",Minst 1 dos
03,2021,Jönköping,878,"0,003079",Färdigvaccinerade
03,2021,Kronoberg,4210,"0,026619",Minst 1 dos
03,2021,Kronoberg,202,"0,001277",Färdigvaccinerade
03,2021,Kalmar,8138,"0,041251",Minst 1 dos
03,2021,Kalmar,289,"0,001465",Färdigvaccinerade
03,2021,Gotland,2164,"0,044125",Minst 1 dos
03,2021,Gotland,190,"0,003874",Färdigvaccinerade
03,2021,Blekinge,4168,"0,032842",Minst 1 dos
03,2021,Blekinge,281,"0,002214",Färdigvaccinerade
03,2021,Skåne,28633,"0,026278",Minst 1 dos
03,2021,Skåne,317,"0,000291",Färdigvaccinerade
03,2021,Halland,7081,"0,026851",Minst 1 dos
03,2021,Halland,182,"0,000690",Färdigvaccinerade
03,2021,Västra Götaland,36517,"0,026633",Minst 1 dos
03,2021,Västra Götaland,416,"0,000303",Färdigvaccinerade
03,2021,Värmland,6510,"0,028584",Minst 1 dos
03,2021,Värmland,169,"0,000742",Färdigvaccinerade
03,2021,Örebro,9493,"0,039296",Minst 1 dos
03,2021,Örebro,804,"0,003328",Färdigvaccinerade
03,2021,Västmanland,8565,"0,039148",Minst 1 dos
03,2021,Västmanland,138,"0,000631",Färdigvaccinerade
03,2021,Dalarna,9982,"0,043551",Minst 1 dos
03,2021,Dalarna,170,"0,000742",Färdigvaccinerade
03,2021,Gävleborg,7077,"0,030775",Minst 1 dos
03,2021,Gävleborg,632,"0,002748",Färdigvaccinerade
03,2021,Västernorrland,7725,"0,039511",Minst 1 dos
03,2021,Västernorrland,185,"0,000946",Färdigvaccinerade
03,2021,Jämtland,3239,"0,030975",Minst 1 dos
03,2021,Jämtland,162,"0,001549",Färdigvaccinerade
03,2021,Västerbotten,5597,"0,025618",Minst 1 dos
03,2021,Västerbotten,118,"0,000540",Färdigvaccinerade
03,2021,Norrbotten,6827,"0,033575",Minst 1 dos
03,2021,Norrbotten,207,"0,001018",Färdigvaccinerade
04,2021,| Sverige |,294252,"0,035929",Minst 1 dos
04,2021,| Sverige |,35699,"0,004359",Färdigvaccinerade
04,2021,Stockholm,44420,"0,023766",Minst 1 dos
04,2021,Stockholm,6162,"0,003297",Färdigvaccinerade
04,2021,Uppsala,10766,"0,035146",Minst 1 dos
04,2021,Uppsala,1208,"0,003944",Färdigvaccinerade
04,2021,Södermanland,11530,"0,049255",Minst 1 dos
04,2021,Södermanland,2581,"0,011026",Färdigvaccinerade
04,2021,Östergötland,14387,"0,038863",Minst 1 dos
04,2021,Östergötland,3682,"0,009946",Färdigvaccinerade
04,2021,Jönköping,13110,"0,045969",Minst 1 dos
04,2021,Jönköping,1398,"0,004902",Färdigvaccinerade
04,2021,Kronoberg,5304,"0,033537",Minst 1 dos
04,2021,Kronoberg,1137,"0,007189",Färdigvaccinerade
04,2021,Kalmar,11453,"0,058055",Minst 1 dos
04,2021,Kalmar,1778,"0,009013",Färdigvaccinerade
04,2021,Gotland,4056,"0,082705",Minst 1 dos
04,2021,Gotland,393,"0,008014",Färdigvaccinerade
04,2021,Blekinge,5510,"0,043416",Minst 1 dos
04,2021,Blekinge,1415,"0,011150",Färdigvaccinerade
04,2021,Skåne,38990,"0,035783",Minst 1 dos
04,2021,Skåne,1370,"0,001257",Färdigvaccinerade
04,2021,Halland,10520,"0,039891",Minst 1 dos
04,2021,Halland,309,"0,001172",Färdigvaccinerade
04,2021,Västra Götaland,43929,"0,032039",Minst 1 dos
04,2021,Västra Götaland,2184,"0,001593",Färdigvaccinerade
04,2021,Värmland,10029,"0,044035",Minst 1 dos
04,2021,Värmland,1044,"0,004584",Färdigvaccinerade
04,2021,Örebro,10854,"0,044930",Minst 1 dos
04,2021,Örebro,1933,"0,008002",Färdigvaccinerade
04,2021,Västmanland,10209,"0,046662",Minst 1 dos
04,2021,Västmanland,385,"0,001760",Färdigvaccinerade
04,2021,Dalarna,10428,"0,045497",Minst 1 dos
04,2021,Dalarna,2895,"0,012631",Färdigvaccinerade
04,2021,Gävleborg,9488,"0,041260",Minst 1 dos
04,2021,Gävleborg,1901,"0,008267",Färdigvaccinerade
04,2021,Västernorrland,8310,"0,042503",Minst 1 dos
04,2021,Västernorrland,1700,"0,008695",Färdigvaccinerade
04,2021,Jämtland,3554,"0,033987",Minst 1 dos
04,2021,Jämtland,890,"0,008511",Färdigvaccinerade
04,2021,Västerbotten,7994,"0,036589",Minst 1 dos
04,2021,Västerbotten,121,"0,000554",Färdigvaccinerade
04,2021,Norrbotten,9411,"0,046283",Minst 1 dos
04,2021,Norrbotten,1213,"0,005965",Färdigvaccinerade
05,2021,| Sverige |,337704,"0,041234",Minst 1 dos
05,2021,| Sverige |,91097,"0,011123",Färdigvaccinerade
05,2021,Stockholm,52801,"0,028250",Minst 1 dos
05,2021,Stockholm,16434,"0,008793",Färdigvaccinerade
05,2021,Uppsala,13018,"0,042498",Minst 1 dos
05,2021,Uppsala,3444,"0,011243",Färdigvaccinerade
05,2021,Södermanland,11898,"0,050827",Minst 1 dos
05,2021,Södermanland,5947,"0,025405",Färdigvaccinerade
05,2021,Östergötland,16795,"0,045367",Minst 1 dos
05,2021,Östergötland,6003,"0,016216",Färdigvaccinerade
05,2021,Jönköping,13514,"0,047386",Minst 1 dos
05,2021,Jönköping,6241,"0,021884",Färdigvaccinerade
05,2021,Kronoberg,6752,"0,042692",Minst 1 dos
05,2021,Kronoberg,2074,"0,013114",Färdigvaccinerade
05,2021,Kalmar,13570,"0,068785",Minst 1 dos
05,2021,Kalmar,1927,"0,009768",Färdigvaccinerade
05,2021,Gotland,4825,"0,098385",Minst 1 dos
05,2021,Gotland,1098,"0,022389",Färdigvaccinerade
05,2021,Blekinge,6952,"0,054779",Minst 1 dos
05,2021,Blekinge,2527,"0,019912",Färdigvaccinerade
05,2021,Skåne,45753,"0,041990",Minst 1 dos
05,2021,Skåne,8234,"0,007557",Färdigvaccinerade
05,2021,Halland,12775,"0,048442",Minst 1 dos
05,2021,Halland,2618,"0,009927",Färdigvaccinerade
05,2021,Västra Götaland,49244,"0,035915",Minst 1 dos
05,2021,Västra Götaland,6847,"0,004994",Färdigvaccinerade
05,2021,Värmland,12199,"0,053562",Minst 1 dos
05,2021,Värmland,2359,"0,010358",Färdigvaccinerade
05,2021,Örebro,12132,"0,050221",Minst 1 dos
05,2021,Örebro,3658,"0,015142",Färdigvaccinerade
05,2021,Västmanland,10720,"0,048998",Minst 1 dos
05,2021,Västmanland,4909,"0,022438",Färdigvaccinerade
05,2021,Dalarna,10497,"0,045798",Minst 1 dos
05,2021,Dalarna,2948,"0,012862",Färdigvaccinerade
05,2021,Gävleborg,12376,"0,053819",Minst 1 dos
05,2021,Gävleborg,4398,"0,019125",Färdigvaccinerade
05,2021,Västernorrland,9010,"0,046084",Minst 1 dos
05,2021,Västernorrland,2989,"0,015288",Färdigvaccinerade
05,2021,Jämtland,3692,"0,035307",Minst 1 dos
05,2021,Jämtland,2019,"0,019308",Färdigvaccinerade
05,2021,Västerbotten,9476,"0,043372",Minst 1 dos
05,2021,Västerbotten,1148,"0,005254",Färdigvaccinerade
05,2021,Norrbotten,9705,"0,047729",Minst 1 dos
05,2021,Norrbotten,3275,"0,016106",Färdigvaccinerade
06,2021,| Sverige |,383128,"0,046781",Minst 1 dos
06,2021,| Sverige |,160552,"0,019604",Färdigvaccinerade
06,2021,Stockholm,57518,"0,030773",Minst 1 dos
06,2021,Stockholm,26386,"0,014117",Färdigvaccinerade
06,2021,Uppsala,15105,"0,049311",Minst 1 dos
06,2021,Uppsala,6001,"0,019591",Färdigvaccinerade
06,2021,Södermanland,12812,"0,054731",Minst 1 dos
06,2021,Södermanland,9151,"0,039092",Färdigvaccinerade
06,2021,Östergötland,18665,"0,050419",Minst 1 dos
06,2021,Östergötland,9952,"0,026883",Färdigvaccinerade
06,2021,Jönköping,15424,"0,054083",Minst 1 dos
06,2021,Jönköping,9172,"0,032161",Färdigvaccinerade
06,2021,Kronoberg,7425,"0,046948",Minst 1 dos
06,2021,Kronoberg,3880,"0,024533",Färdigvaccinerade
06,2021,Kalmar,14681,"0,074417",Minst 1 dos
06,2021,Kalmar,5043,"0,025563",Färdigvaccinerade
06,2021,Gotland,5097,"0,103931",Minst 1 dos
06,2021,Gotland,1325,"0,027018",Färdigvaccinerade
06,2021,Blekinge,8208,"0,064675",Minst 1 dos
06,2021,Blekinge,3837,"0,030234",Färdigvaccinerade
06,2021,Skåne,49093,"0,045055",Minst 1 dos
06,2021,Skåne,14133,"0,012971",Färdigvaccinerade
06,2021,Halland,15961,"0,060523",Minst 1 dos
06,2021,Halland,6162,"0,023366",Färdigvaccinerade
06,2021,Västra Götaland,59200,"0,043177",Minst 1 dos
06,2021,Västra Götaland,15531,"0,011327",Färdigvaccinerade
06,2021,Värmland,14088,"0,061856",Minst 1 dos
06,2021,Värmland,4658,"0,020452",Färdigvaccinerade
06,2021,Örebro,14715,"0,060913",Minst 1 dos
06,2021,Örebro,5933,"0,024560",Färdigvaccinerade
06,2021,Västmanland,11637,"0,053189",Minst 1 dos
06,2021,Västmanland,6885,"0,031469",Färdigvaccinerade
06,2021,Dalarna,11206,"0,048891",Minst 1 dos
06,2021,Dalarna,9215,"0,040205",Färdigvaccinerade
06,2021,Gävleborg,14899,"0,064790",Minst 1 dos
